Country,France,Italy,Portugal,Spain,Austria,Bel-Lux,Denmark,Finland,Germany,Greece,Ireland,Netherlands,Sweden,Switzerland,United Kingdom,Other WEM,Bulgaria,Croatia,Georgia,Hungary,Moldova,Romania,Russia,Ukraine,Other ECA,Australia,New Zealand,Canada,United States,Argentina,Brazil,Chile,Mexico,Uruguay,Other LAC,Algeria,Morocco,South Africa,Tunisia,Turkey,Other AME,China,Hong Kong,India,Japan,Korea,Malaysia,Philippines,Singapore,Taiwan,Thailand,Other Asia Pacific,Other,World,0,Coeff. of variation,Norway,0,0,0,0,0,0,0,0,0
1904,"157,716","24,995",0,0,0,"20,691","17,292",0,"231,224",0,0,"20,786",0,"7,326","110,362",0,0,0,0,0,0,0,0,0,0,"7,996","2,227",0,"226,009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0
1905,"143,933","26,958",0,0,0,"20,305","17,181",0,"216,983",0,0,"20,483",0,"6,472","104,874",0,0,0,0,0,0,0,0,0,0,"8,009","2,168",0,"225,514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0
1906,"143,706","20,472",0,0,0,"20,322","16,775",0,"226,028",0,0,"20,782",0,"7,084","102,332",0,0,0,0,0,0,0,0,0,0,"7,312","2,345",0,"238,441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0
1907,"134,290","22,424",0,0,0,"19,959","15,790",0,"241,364",0,0,"20,727",0,"7,172","104,094",0,0,0,0,0,0,0,0,0,0,"6,603","2,514",0,"261,144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0
1908,"139,556","13,283",0,0,0,"20,973","16,714",0,"232,511",0,0,"20,309",0,"7,258","104,133",0,0,0,0,0,0,0,0,0,0,"5,494","2,559",0,"234,215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
1909,"139,771","9,778",0,0,0,"20,041","15,847",0,"260,560",0,0,"20,341",0,"6,902","101,506",0,0,0,0,0,0,0,0,0,0,"5,834","2,453",0,"226,204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0
1910,"145,933","25,600",0,0,0,"19,345","16,283",0,"176,075",0,0,"15,575",0,"9,599","67,374",0,0,0,0,0,0,0,0,0,0,"6,284","2,639",0,"250,471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0
1911,"163,989","23,258",0,0,0,"20,446","16,744",0,"191,556",0,0,"15,738",0,"5,286","79,672",0,0,0,0,0,0,0,0,0,0,"6,955","2,733",0,"260,086",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0
1912,"157,991","24,148",0,0,0,"24,516","15,611",0,"186,925",0,0,"16,020",0,"6,683","79,041",0,0,0,0,0,0,0,0,0,0,"7,288","2,990",0,"260,312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
1913,"162,535","24,956",0,0,0,"21,311","14,348",0,"45,541",0,0,"16,026",0,"6,337","79,429",0,0,0,0,0,0,0,0,0,0,"7,451",0,0,"277,201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0
1914,"83,367","37,901",0,0,0,"9,654","4,648",0,"66,757",0,0,"16,195",0,"1,364","56,180",0,0,0,0,0,0,0,0,0,0,"7,355","3,367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0
1915,"82,581","31,905",0,0,0,"7,681","4,644",0,"113,253",0,0,"9,273",0,893,"46,803",0,0,0,0,0,0,0,0,0,0,"7,050","3,532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
1916,"96,519","34,328",0,0,0,"9,237","5,195",0,"69,380",0,0,"9,383",0,"1,359","43,723",0,0,0,0,0,0,0,0,0,0,"5,496","2,929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0
